datetime,open,high,low,close
2026-08-08 20:55:00+00:00,4342.25698,4342.42704,4342.1624,4342.32467
2026-08-08 21:00:00+00:00,4342.25457,4342.45077,4342.1624,4342.23707
2026-08-08 21:05:00+00:00,4342.25887,4342.40639,4342.21746,4342.25788
2026-08-08 21:10:00+00:00,4342.26044,4342.45551,4342.19898,4342.34862
2026-08-08 21:15:00+00:00,4342.26044,4342.4368,4342.24032,4342.34277
2026-08-08 21:20:00+00:00,4342.26252,4342.4553,4342.19616,4342.23602
2026-08-08 21:25:00+00:00,4342.26077,4342.41698,4342.21159,4342.32078
2026-08-08 21:30:00+00:00,4342.26215,4342.4561,4342.19868,4342.35323
2026-08-08 21:35:00+00:00,4342.26233,4342.44413,4342.23402,4342.32258
2026-08-08 21:40:00+00:00,4342.26233,4342.45698,4342.19986,4342.23534
2026-08-08 21:45:00+00:00,4342.26233,4342.42482,4342.20835,4342.31449
2026-08-08 21:50:00+00:00,4342.26233,4342.45379,4342.19745,4342.35556
2026-08-08 21:55:00+00:00,4342.26233,4342.44879,4342.22637,4342.32044
2026-08-08 22:00:00+00:00,4342.26233,4342.45771,4342.20267,4342.23324
2026-08-08 22:05:00+00:00,4342.26233,4342.43209,4342.20416,4342.30891
2026-08-08 22:10:00+00:00,4342.26233,4342.45048,4342.19724,4342.35741
2026-08-08 22:15:00+00:00,4342.26233,4342.4525,4342.21951,4342.326
2026-08-08 22:20:00+00:00,4342.26233,4342.45742,4342.20645,4342.23163
2026-08-08 22:25:00+00:00,4342.26233,4342.43853,4342.20093,4342.30338
2026-08-08 22:30:00+00:00,4342.26233,4342.44622,4342.19804,4342.35878
2026-08-08 22:35:00+00:00,4342.26233,4342.45524,4342.2135,4342.33148
2026-08-08 22:40:00+00:00,4342.26233,4342.45611,4342.21119,4342.23051
2026-08-08 22:45:00+00:00,4342.26233,4342.4441,4342.19869,4342.29795
2026-08-08 22:50:00+00:00,4342.26233,4342.44103,4342.19985,4342.35965
2026-08-08 22:55:00+00:00,4342.26233,4342.45698,4342.20837,4342.33684
2026-08-08 23:00:00+00:00,4342.26233,4342.4538,4342.21682,4342.22989
2026-08-08 23:05:00+00:00,4342.26233,4342.44877,4342.19745,4342.29266
2026-08-08 23:10:00+00:00,4342.26233,4342.43495,4342.20266,4342.36002
2026-08-08 23:15:00+00:00,4342.26233,4342.45771,4342.20418,4342.34205
2026-08-08 23:20:00+00:00,4342.26233,4342.4505,4342.22333,4342.22978
2026-08-08 23:25:00+00:00,4342.26233,4342.45249,4342.19723,4342.29796
2026-08-08 23:30:00+00:00,4342.26233,4342.42804,4342.20644,4342.35987
2026-08-08 23:35:00+00:00,4342.26233,4342.45742,4342.20094,4342.34704
2026-08-08 23:40:00+00:00,4342.26233,4342.44624,4342.23018,4342.23018
2026-08-08 23:45:00+00:00,4342.26233,4342.45523,4342.19803,4342.3037
2026-08-08 23:50:00+00:00,4342.26233,4342.42034,4342.21116,4342.35922
2026-08-08 23:55:00+00:00,4342.26233,4342.45612,4342.1987,4342.3518
2026-08-09 00:00:00+00:00,4342.26233,4342.44105,4342.23108,4342.23108
2026-08-09 00:05:00+00:00,4342.26233,4342.45697,4342.19984,4342.30936
